name,category,deficiency_symptoms,rda_male,rda_female,optimal_range,bioavailability,supplementation_notes,food_sources,drug_nutrient_interactions,absorption_factors
Vitamin B1 (Thiamine),Vitamin,fatigue;weakness;nerve damage;numbness;irritability;concentration problems,1.2 mg,1.1 mg,1.1-1.2 mg/day,70-90% from food sources,Take with food to improve absorption. Alcohol depletes thiamine.,Pork;whole grains;legumes;nuts,Diuretics reduce thiamine absorption;Alcohol impairs thiamine metabolism,Stomach acid;carbohydrate intake (enhances);chronic alcohol use (impairs)
Vitamin B3 (Niacin),Vitamin,fatigue;weakness;headache;poor concentration;depression;skin problems,16 mg,14 mg,14-16 mg/day,40-60% absorption,Can cause flushing at high doses. Take with food to reduce GI upset.,Chicken;tuna;peanuts;mushrooms;turkey,Metformin may increase niacin needs,Stomach acid;tryptophan conversion;alcohol consumption
Folate (Vitamin B9),Vitamin,fatigue;weakness;memory problems;pale skin;mouth sores;nervous system issues,400 mcg,400 mcg,400-1000 mcg/day,50-98% depending on source (synthetic higher),Essential during pregnancy. Plant sources less bioavailable than supplements.,Spinach;broccoli;asparagus;legumes;avocado,Metformin reduces folate absorption;PPIs reduce absorption;Antibiotics affect gut bacteria,Stomach acid;vitamin B12 (works together);alcohol (impairs)
Vitamin B5 (Pantothenic Acid),Vitamin,fatigue;weakness;poor concentration;muscle weakness;numbness,5 mg,5 mg,5-10 mg/day,50% absorption average,Can be depleted by stress and antibiotics.,Mushrooms;avocado;eggs;salmon;chicken,Antibiotics disrupt synthesis;Phenothiazines increase needs,Stomach acid;conversion from inactive forms
Zinc,Mineral,fatigue;hair loss;poor wound healing;weak immunity;rashes;loss of taste,11 mg,8 mg,8-11 mg/day,20-40% from animal; 5-15% from plants,Better absorbed with protein. Do not exceed 40 mg daily from supplements.,Oysters;beef;cashews;pumpkin seeds;chickpeas,Corticosteroids increase loss;Diuretics increase excretion;PPIs reduce absorption,Phytates (inhibit);protein (enhance);calcium (inhibit non-heme)
Copper,Mineral,fatigue;weakness;bone pain;immune dysfunction;hair/skin issues,900 mcg,900 mcg,900 mcg/day,30-40% absorption,Excess zinc interferes with copper absorption. Balance is important.,Oysters;beef liver;cashews;seeds;dark chocolate,Penicillamine interferes;Antacids reduce absorption,Zinc ratio (too much zinc impairs);acidic stomach (enhance)
Selenium,Mineral,fatigue;muscle weakness;hair loss;immune dysfunction;thyroid problems,55 mcg,55 mcg,55 mcg/day,50-80% absorption,Works synergistically with vitamin E. Excess can be toxic.,Brazil nuts;fish;poultry;eggs;whole grains,Phenothiazines increase needs,Acidic environment (enhance);vitamin E (synergistic)
Vitamin C,Vitamin,fatigue;weakness;poor wound healing;infections;joint pain;bleeding gums,90 mg,75 mg,75-500 mg/day,70-90% from fresh sources,Take daily as body doesn't store it. Enhances iron absorption.,Citrus;kiwi;berries;bell peppers;broccoli,Certain medications increase needs,Acidic stomach (enhance);heat (destroys);smoking (increases needs)
Vitamin E,Vitamin,muscle weakness;numbness;vision problems;immune dysfunction,15 mg,15 mg,15-200 IU,20-60% absorption; better with fat,Fat-soluble vitamin. Take with fat-containing meal. Antioxidant functions.,Almonds;sunflower seeds;spinach;olive oil;avocado,Warfarin may interact;Bile acid sequestrants reduce absorption,Fat intake (essential);selenium (synergistic);iron status
Chromium,Mineral,energy crashes;sugar cravings;mood swings;difficulty concentrating,35 mcg,25 mcg,25-35 mcg/day,10-25% absorption,Helps regulate blood sugar. Often low in Western diets.,Broccoli;whole grains;nuts;mushrooms;meat,Corticosteroids deplete chromium,Stomach acid (enhance);phytates (inhibit);protein (with carbs enhance)
